timestamp,lat,lon,alt_m,relative_alt_m,roll_rad,pitch_rad,yaw_rad,airspeed_mps,groundspeed_mps,battery_voltage_v,battery_remaining_pct,mode,armed
73184.004802056,,,,,,,,,,,,,
73185.005061731,30.265,120.0950001,0.22,0.115,,,,,,,,,
73186.005913526,30.265,120.0950001,0.22,0.119,,,,,,,,,
73187.006344626,30.265,120.0950001,0.22,0.118,,,,,,,,,
73188.007264711,30.265,120.0950001,0.23,0.123,,,,,,,,,
73189.007624995,30.265,120.0950001,0.23,0.128,,,,,,,,,
73190.007853174,30.265,120.0950001,0.23,0.123,,,,,,,,,
73191.00823617,30.265,120.0950001,0.22,0.115,,,,,,,,,
73192.008910505,30.265,120.0950001,0.21,0.105,,,,,,,,,
73193.009176101,30.265,120.0950001,0.19,0.089,,,,,,,,,
73194.009920353,30.265,120.0950001,0.2,0.09,,,,,,,,,
73195.010436914,30.265,120.0950001,0.19,0.088,,,,,,,,,
73196.011151052,30.265,120.0950001,0.19,0.087,,,,,,,,,
73197.011552961,30.265,120.0950001,0.19,0.084,,,,,,,,,
73198.012281087,30.265,120.0950001,0.19,0.081,,,,,,,,,
73199.013033661,30.265,120.0950001,0.19,0.088,,,,,,,,,
73200.014025158,30.265,120.0950001,0.21,0.105,,,,,,,,,
73201.01450272,30.265,120.0950001,0.21,0.103,,,,,,,,,
73202.01494103,30.265,120.0950001,0.23,0.126,,,,,,,,,
73203.015323579,30.265,120.0950001,0.23,0.121,,,,,,,,,
73204.015935996,30.265,120.0950001,0.21,0.108,,,,,,,,,
73205.016322955,30.265,120.0950001,0.22,0.114,,,,,,,,,
73206.016537383,30.265,120.0950001,0.23,0.125,,,,,,,,,
73207.017429116,30.265,120.0950001,0.22,0.117,,,,,,,,,
73208.017723622,30.265,120.0950001,0.23,0.127,,,,,,,,,
73209.018305836,30.265,120.0950001,0.23,0.122,,,,,,,,,
73210.018888384,30.265,120.0950001,0.23,0.122,,,,,,,,,
73211.019921302,30.265,120.0950001,0.22,0.11,,,,,,,,,
73212.02063607,30.265,120.0950001,0.21,0.106,,,,,,,,,
73213.021124973,30.265,120.0950001,0.22,0.113,,,,,,,,,
73214.022230402,30.265,120.0950001,0.21,0.103,,,,,,,,,
73215.022651811,30.265,120.0950001,0.21,0.106,,,,,,,,,
73216.023112261,30.265,120.0950001,0.2,0.099,,,,,,,,,
73217.02394112,30.265,120.0950001,0.2,0.094,,,,,,,,,
73218.024527383,30.265,120.0950001,0.19,0.081,,,,,,,,,
73219.025238064,30.265,120.0950001,0.2,0.09,,,,,,,,,
73220.026029575,30.265,120.0950001,0.2,0.099,,,,,,,,,
73221.026523929,30.265,120.0950001,0.21,0.1,,,,,,,,,
73222.02697461,30.265,120.0950001,0.19,0.083,,,,,,,,,
73223.027464756,30.265,120.0950001,0.18,0.072,,,,,,,,,
73224.028195234,30.265,120.0950001,0.17,0.069,,,,,,,,,
73225.029076852,30.265,120.0950001,0.18,0.078,,,,,,,,,
73226.030234773,30.265,120.0950001,0.2,0.097,,,,,,,,,
73227.030744975,30.265,120.0950001,0.21,0.107,,,,,,,,,
